%OpenBCI Raw EEG Data
%Number of channels = 8
%Sample Rate = 250 Hz
%Board = OpenBCI_GUI$BoardCytonSerial
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Timestamp (Formatted)
191.0, -15007.2958984375, 18650.5859375, -15192.2119140625, 137660.953125, -187500.015625, -141941.8125, -187500.015625, -187500.015625, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6137590867268572E9, 2021-02-19 16:24:46.726
218.0, -15462.8017578125, 18675.57421875, -15179.650390625, 137614.140625, -187500.015625, -141316.828125, -187500.015625, -187500.015625, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.613759086726862E9, 2021-02-19 16:24:46.726
203.0, -15043.0361328125, 18784.16015625, -15073.0322265625, 137757.796875, -187500.015625, -143017.390625, -187500.015625, -187500.015625, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.613759086726866E9, 2021-02-19 16:24:46.726
207.0, -15107.119140625, 18796.474609375, -15060.8505859375, 137760.96875, -187500.015625, -143218.546875, -187500.015625, -187500.015625, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.61375908672687E9, 2021-02-19 16:24:46.726
205.0, -15356.005859375, 18605.501953125, -15247.0859375, 137591.078125, -187500.015625, -140356.703125, -187500.015625, -187500.015625, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.613759086726874E9, 2021-02-19 16:24:46.726
216.0, -15070.126953125, 18600.96484375, -15233.0263671875, 137583.609375, -187500.015625, -141932.65625, -187500.015625, -187500.015625, -0.10400000214576721, -0.6340000033378601, 0.7680000066757202, 192.0, 252.0, 192.0, 236.0, 48.0, 24.0, 0.0, 0.0, 0.0, 0.0, 1.6137590867268791E9, 2021-02-19 16:24:46.726
234.0, -15253.7236328125, 18558.361328125, -15303.76953125, 137519.8125, -187500.015625, -139985.3125, -187500.015625, -187500.015625, -0.10400000214576721, -0.6340000033378601, 0.7680000066757202, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6137590867268832E9, 2021-02-19 16:24:46.726
210.0, -15371.0927734375, 18821.599609375, -15040.779296875, 137809.8125, -187500.015625, -142278.34375, -187500.015625, -187500.015625, -0.10400000214576721, -0.6340000033378601, 0.7680000066757202, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6137590867268872E9, 2021-02-19 16:24:46.726
211.0, -15143.060546875, 18820.19140625, -15033.7607421875, 137805.78125, -187500.015625, -143408.71875, -187500.015625, -187500.015625, -0.10400000214576721, -0.6340000033378601, 0.7680000066757202, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6137590867268915E9, 2021-02-19 16:24:46.726
212.0, -15094.4453125, 18544.146484375, -15294.046875, 137533.359375, -187500.015625, -141543.796875, -187500.015625, -187500.015625, -0.10400000214576721, -0.6340000033378601, 0.7680000066757202, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.613759086726905E9, 2021-02-19 16:24:46.726
